55    322    Inf
741    743    411    Inf
741    744    411    Inf
742    742    411    Inf
742    743    411    Inf
742    744    411    Inf
743    743    411    Inf
743    744    411    Inf
744    744    411    Inf
741    741    421    Inf
741    741    422    Inf
741    742    421    Inf
741    742    422    Inf
741    743    421    Inf
741    743    422    Inf
741    744    421    Inf
741    744    422    Inf
742    742    421    Inf
742    742    422    Inf
742    743    421    Inf
742    743    422    Inf
742    744    421    Inf
742    744    422    Inf
743    743    421    Inf
743    743    422    Inf
743    744    421    Inf
743    744    422    Inf
744    744    421    Inf
744    744    422    Inf
741    741    431    Inf
741    741    432    Inf
741    741    433    Inf
741    742    431    Inf
741    742    432    Inf
741    742    433    Inf
741    743    431    Inf
741    743    432    Inf
741    743    433    Inf
741    744    431    Inf
741    744    432    Inf
741    744    433    Inf
742    742    431    Inf
742    742    432    Inf
742    742    433    Inf
742    743    431    Inf
742    743    432    Inf
742    743    433    Inf
742    744    431    Inf
742    744    432    Inf
742    744    433    Inf
743    743    431    Inf
743    743    432    Inf
743    743    433    Inf
743    744    431    Inf
743    744    432    Inf
743    744    433    Inf
744    744    431    Inf
744    744    432    Inf
744    744    433    Inf
741    751    411    Inf
741    752    411    Inf
741    753    411    Inf
741    754    411    Inf
741    755    411    Inf
742    751    411    Inf
742    752    411    Inf
742    753    411    Inf
742    754    411    Inf
742    755    411    Inf
743    751    411    Inf
743    752    411    Inf
743    753    411    Inf
743    754    411    Inf
743    755    411    Inf
744    751    411    Inf
744    752    411    Inf
744    753    411    Inf
744    754    411    Inf
744    755    411    Inf
741    751    421    Inf
741    751    422    Inf
741    752    421    Inf
741    752    422    Inf
741    753    421    Inf
741    753    422    Inf
741    754    421    Inf
741    754    422    Inf
741    755    421    Inf
741    755    422    Inf
742    751    421    Inf
742    751    422    Inf
742    752    421    Inf
742    752    422    Inf
742    753    421    Inf
742    753    422    Inf
742    754    421    Inf
742    754    422    Inf
742    755    421    Inf
742    755    422    Inf
743    751    421    Inf
743    751    422    Inf
743    752    421    Inf
743    752    422    Inf
743    753    421    Inf
743    753    422    Inf
743    754    421    Inf
743    754    422    Inf
743    755    421    Inf
743    755    422    Inf
744    751    421    Inf
744    751    422    Inf
744    752    421    Inf
744    752    422    Inf
744    753    421    Inf
744    753    422    Inf
744    754    421    Inf
744    754    422    Inf
744    755    421    Inf
744    755    422    Inf
741    751    431    Inf
741    751    432    Inf
741    751    433    Inf
741    752    431    Inf
741    752    432    Inf
741    752    433    Inf
741    753    431    Inf
741    753    432    Inf
741    753    433    Inf
741    754    431    Inf
741    754    432    Inf
741    754    433    Inf
741    755    431    Inf
741    755    432    Inf
741    755    433    Inf
742    751    431    Inf
742    751    432    Inf
742    751    433    Inf
742    752    431    Inf
742    752    432    Inf
742    752    433    Inf
742    753    431    Inf
742    753    432    Inf
742    753    433    Inf
742    754    431    Inf
742    754    432    Inf
742    754    433    Inf
742    755    431    Inf
742    755    432    Inf
742    755    433    Inf
743    751    431    Inf
743    751    432    Inf
743    751    433    Inf
743    752    431    Inf
743    752    432    Inf
743    752    433    Inf
743    753    431    Inf
743    753    432    Inf
743    753    433    Inf
743    754    431    Inf
743    754    432    Inf
743    754    433    Inf
743    755    431    Inf
743    755    432    Inf
743    755    433    Inf
744    751    431    Inf
744    751    432    Inf
744    751    433    Inf
744    752    431    Inf
744    752    432    Inf
744    752    433    Inf
744    753    431    Inf
744    753    432    Inf
744    753    433    Inf
744    754    431    Inf
744    754    432    Inf
744    754    433    Inf
744    755    431    Inf
744    755    432    Inf
744    755    433    Inf
741    761    411    Inf
741    762    411    Inf
741    763    411    Inf
741    764    411    Inf
741    765    411    Inf
741    766    411    Inf
742    761    411    Inf
742    762    411    Inf
742    763    411    Inf
742    764    411    Inf
742    765    411    Inf
742    766    411    Inf
743    761    411    Inf
743    762    411    Inf
743    763    411    Inf
743    764    411    Inf
743    765    411    Inf
743    766    411    Inf
744    761    411    Inf
744    762    411    Inf
744    763    411    Inf
744    764    411    Inf
744    765    411    Inf
744    766    411    Inf
741    761    421    Inf
741    761    422    Inf
741    762    421    Inf
741    762    422    Inf
741    763    421    Inf
741    763    422    Inf
741    764    421    Inf
741    764    422    Inf
741    765    421    Inf
741    765    422    Inf
741    766    421    Inf
741    766    422    Inf
742    761    421    Inf
742    761    422    Inf
742    762    421    Inf
742    762    422    Inf
742    763    421    Inf
742    763    422    Inf
742    764    421    Inf
742    764    422    Inf
742    765    421    Inf
742    765    422    Inf
742    766    421    Inf
742    766    422    Inf
743    761    421    Inf
743    761    422    Inf
743    762    421    Inf
743    762    422    Inf
743    763    421    Inf
743    763    422    Inf
743    764    421    Inf
743    764    422    Inf
743    765    421    Inf
743    765    422    Inf
743    766    421    Inf
743    766    422    Inf
744    761    421    Inf
744    761    422    Inf
744    762    421    Inf
744    762    422    Inf
744    763    421    Inf
744    763    422    Inf
744    764    421    Inf
744    764    422    Inf
744    765    421    Inf
744    765    422    Inf
744    766    421    Inf
744    766    422    Inf
741    761    431    Inf
741    761    432    Inf
741    761    433    Inf
741    762    431    Inf
741    762    432    Inf
741    762    433    Inf
741    763    431    Inf
741    763    432    Inf
741    763    433    Inf
741    764    431    Inf
741    764    432    Inf
741    764    433    Inf
741    765    431    Inf
741    765    432    Inf
741    765    433    Inf
741    766    431    Inf
741    766    432    Inf
741    766    433    Inf
742    761    431    Inf
742    761    432    Inf
742    761    433    Inf
742    762    431    Inf
742    762    432    Inf
742    762    433    Inf
742    763    431    Inf
742    763    432    Inf
742    763    433    Inf
742    764    431    Inf
742    764    432    Inf
742    764    433    Inf
742    765    431    Inf
742    765    432    Inf
742    765    433    Inf
742    766    431    Inf
742    766    432    Inf
742    766    433    Inf
743    761    431    Inf
743    761    432    Inf
743    761    433    Inf
743    762    431    Inf
743    762    432    Inf
743    762    433    Inf
743    763    431    Inf
743    763    432    Inf
743    763    433    Inf
743    764    431    Inf
743    764    432    Inf
743    764    433    Inf
743    765    431    Inf
743    765    432    Inf
743    765    433    Inf
743    766    431    Inf
743    766    432    Inf
743    766    433    Inf
744    761    431    Inf
744    761    432    Inf
744    761    433    Inf
744    762    431    Inf
744    762    432    Inf
744    762    433    Inf
744    763    431    Inf
744    763    432    Inf
744    763    433    Inf
744    764    431    Inf
744    764    432    Inf
744    764    433    Inf
744    765    431    Inf
744    765    432    Inf
744    765    433    Inf
744    766    431    Inf
744    766    432    Inf
744    766    433    Inf
751    751    411    Inf
751    752    411    Inf
751    753    411    Inf
751    754    411    Inf
751    755    411    Inf
752    752    411    Inf
752    753    411    Inf
752    754    411    Inf
752    755    411    Inf
753    753    411    Inf
753    754    411    Inf
753    755    411    Inf
754    754    411    Inf
754    755    411    Inf
755    755    411    Inf
751    751    421    Inf
751    751    422    Inf
751    752    421    Inf
751    752    422    Inf
751    753    421    Inf
751    753    422    Inf
751    754    421    Inf
751    754    422    Inf
751    755    421    Inf
751    755    422    Inf
752    752    421    Inf
752    752    422    Inf
752    753    421    Inf
752    753    422    Inf
752    754    421    Inf
752    754    422    Inf
752    755    421    Inf
752    755    422    Inf
753    753    421    Inf
753    753    422    Inf
753    754    421    Inf
753    754    422    Inf
753    755    421    Inf
753    755    422    Inf
754    754    421    Inf
754    754    422    Inf
754    755    421    Inf
754    755    422    Inf
755    755    421    Inf
755    755    422    Inf
751    751    431    Inf
751    751    432    Inf
751    751    433    Inf
751    752    431    Inf
751    752    432    Inf
751    752    433    Inf
751    753    431    Inf
751    753    432    Inf
751    753    433    Inf
751    754    431    Inf
751    754    432    Inf
751    754    433    Inf
751    755    431    Inf
751    755    432    Inf
751    755    433    Inf
752    752    431    Inf
752    752    432    Inf
752    752    433    Inf
752    753    431    Inf
752    753    432    Inf
752    753    433    Inf
752    754    431    Inf
752    754    432    Inf
752    754    433    Inf
752    755    431    Inf
752    755    432    Inf
752    755    433    Inf
753    753    431    Inf
753    753    432    Inf
753    753    433    Inf
